"","fromgene","togene"
"1179","3444","3977"
"1180","3444","4352"
"1181","3444","50615"
"1182","3444","5156"
"1183","3444","5159"
"1184","3444","53832"
"1185","3444","53833"
"1186","3444","5618"
"1187","3444","58985"
"1188","3444","64109"
"1189","3444","9180"
"1190","3444","9466"
"1191","3445","116379"
"1192","3445","1271"
"1193","3445","1438"
"1194","3445","1439"
"1195","3445","1441"
"1196","3445","149233"
"1197","3445","163702"
"1198","3445","1956"
"1199","3445","2057"
"1200","3445","2690"
"1201","3445","3454"
"1202","3445","3455"
"1203","3445","3459"
"1204","3445","3460"
"1205","3445","3559"
"1206","3445","3560"
"1207","3445","3561"
"1208","3445","3563"
"1209","3445","3566"
"1210","3445","3568"
"1211","3445","3570"
"1212","3445","3572"
"1213","3445","3575"
"1214","3445","3581"
"1215","3445","3587"
"1216","3445","3588"
"1217","3445","3590"
"1218","3445","3594"
"1219","3445","3595"
"1220","3445","3597"
"1221","3445","3598"
"1222","3445","3601"
"1223","3445","3953"
"1224","3445","3977"
"1225","3445","4352"
"1226","3445","50615"
"1227","3445","5156"
"1228","3445","5159"
"1229","3445","53832"
"1230","3445","53833"
"1231","3445","5618"
"1232","3445","58985"
"1233","3445","64109"
"1234","3445","9180"
"1235","3445","9466"
"1236","3446","116379"
"1237","3446","1271"
"1238","3446","1438"
"1239","3446","1439"
"1240","3446","1441"
"1241","3446","149233"
"1242","3446","163702"
"1243","3446","1956"
"1244","3446","2057"
"1245","3446","2690"
"1246","3446","3454"
"1247","3446","3455"
"1248","3446","3459"
"1249","3446","3460"
"1250","3446","3559"
"1251","3446","3560"
"1252","3446","3561"
"1253","3446","3563"
"1254","3446","3566"
"1255","3446","3568"
"1256","3446","3570"
"1257","3446","3572"
"1258","3446","3575"
"1259","3446","3581"
"1260","3446","3587"
"1261","3446","3588"
"1262","3446","3590"
"1263","3446","3594"
"1264","3446","3595"
"1265","3446","3597"
"1266","3446","3598"
"1267","3446","3601"
"1268","3446","3953"
"1269","3446","3977"
"1270","3446","4352"
"1271","3446","50615"
"1272","3446","5156"
"1273","3446","5159"
"1274","3446","53832"
"1275","3446","53833"
"1276","3446","5618"
"1277","3446","58985"
"1278","3446","64109"
"1279","3446","9180"
"1280","3446","9466"
"1281","3447","116379"
"1282","3447","1271"
"1283","3447","1438"
"1284","3447","1439"
"1285","3447","1441"
"1286","3447","149233"
"1287","3447","163702"
"1288","3447","1956"
"1289","3447","2057"
"1290","3447","2690"
"1291","3447","3454"
"1292","3447","3455"
"1293","3447","3459"
"1294","3447","3460"
"1295","3447","3559"
"1296","3447","3560"
"1297","3447","3561"
"1298","3447","3563"
"1299","3447","3566"
"1300","3447","3568"
"1301","3447","3570"
"1302","3447","3572"
"1303","3447","3575"
"1304","3447","3581"
"1305","3447","3587"
"1306","3447","3588"
"1307","3447","3590"
"1308","3447","3594"
"1309","3447","3595"
"1310","3447","3597"
"1311","3447","3598"
"1312","3447","3601"
"1313","3447","3953"
"1314","3447","3977"
"1315","3447","4352"
"1316","3447","50615"
"1317","3447","5156"
"1318","3447","5159"
"1319","3447","53832"
"1320","3447","53833"
"1321","3447","5618"
"1322","3447","58985"
"1323","3447","64109"
"1324","3447","9180"
"1325","3447","9466"
"1326","3448","116379"
"1327","3448","1271"
"1328","3448","1438"
"1329","3448","1439"
"1330","3448","1441"
"1331","3448","149233"
"1332","3448","163702"
"1333","3448","1956"
"1334","3448","2057"
"1335","3448","2690"
"1336","3448","3454"
"1337","3448","3455"
"1338","3448","3459"
"1339","3448","3460"
"1340","3448","3559"
"1341","3448","3560"
"1342","3448","3561"
"1343","3448","3563"
"1344","3448","3566"
"1345","3448","3568"
"1346","3448","3570"
"1347","3448","3572"
"1348","3448","3575"
"1349","3448","3581"
"1350","3448","3587"
"1351","3448","3588"
"1352","3448","3590"
"1353","3448","3594"
"1354","3448","3595"
"1355","3448","3597"
"1356","3448","3598"
"1357","3448","3601"
"1358","3448","3953"
"1359","3448","3977"
"1360","3448","4352"
"1361","3448","50615"
"1362","3448","5156"
"1363","3448","5159"
